# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
ao lao shi 	凹老師	c=2 d=1.96079 t=7314
ao li ha gang 	奧利哈剛	c=1 d=1 t=13011
ao mi 	奧祕	c=1 d=1 t=10884
ao ye 	熬夜	c=1 d=1 t=4577
ba 	叭	c=3 d=1 t=24877
ba 	吧	c=77 d=1.07083 t=26693
ba 	把	c=87 d=1.82448 t=26693
ba 	爸	c=1 d=1 t=19089
ba 	罷	c=1 d=1 t=25220
ba ba 	爸爸	c=1 d=1 t=19721
ba bi 	把筆	c=1 d=1 t=17641
ba da 	八大	c=2 d=1 t=22063
ba fang 	八方	c=1 d=1 t=10718
ba jie 	八屆	c=1 d=1 t=22081
ba le 	拔了	c=1 d=1 t=26635
ba le 	罷了	c=3 d=1 t=23316
ba ma 	爸媽	c=1 d=1 t=25308
ba qi 	八七	c=0 d=0.1 t=13888
ba qi hui yi 	八七會議	c=1 d=1 t=13889
ba qian 	八千	c=1 d=1 t=13613
ba wo 	把我	c=1 d=1 t=16869
ba wo 	把握	c=0 d=0.1 t=15682
ba wo guo 	把我國	c=1 d=1 t=16057
ba xiang 	八項	c=1 d=1 t=15685
bai 	擺	c=1 d=1 t=25680
bai 	白	c=6 d=1 t=24352
bai de 	白的	c=1 d=1 t=4466
bai du 	百度	c=3 d=1 t=19819
bai ge 	白哥	c=3 d=2.4396 t=3194
bai lan 	擺爛	c=1 d=1 t=13703
bai lv 	白綠	c=1 d=1 t=4325
bai mo 	白魔	c=1 d=1 t=7985
bai nian 	百年	c=1 d=1 t=21815
bai piao 	白嫖	c=9 d=1 t=17359
bai piao de 	白嫖的	c=2 d=1.99501 t=12583
bai piao le 	白嫖了	c=1 d=1 t=10566
bai sha tang 	白沙糖	c=1 d=1 t=24350
bai shan hei shui 	白山黑水	c=1 d=1 t=20684
bai shi 	百事	c=3 d=1.99501 t=26577
bai shi zi 	白獅子	c=1 d=1 t=16903
bai tang 	白糖	c=7 d=6.23739 t=24364
bai tiao 	白條	c=1 d=1 t=2283
bai wa 	白襪	c=1 d=1 t=12902
bai yu shou 	拜獄獸	c=2 d=1.92312 t=3429
bai zai 	擺在	c=0 d=0.1 t=2788
bai zai na 	擺在那	c=1 d=1 t=2789
bai zhe 	擺着	c=1 d=1 t=9822
bai zhi 	白值	c=1 d=1 t=3945
ban 	半	c=4 d=1 t=20361
ban 	搬	c=1 d=1 t=25675
ban 	版	c=13 d=0.0179066 t=26693
ban ben 	版本	c=12 d=1.0037 t=17759
ban bu ming bai 	搬不明白	c=1 d=1 t=17280
ban dian 	半點	c=1 d=1 t=22984
ban diao zi 	半吊子	c=1 d=1 t=9987
ban fa 	辦法	c=3 d=1 t=17636
ban fo 	半佛	c=1 d=1 t=9252
ban ge 	半個	c=1 d=0.1 t=22782
ban ge xue qi 	半個學期	c=1 d=1 t=22783
ban hui 	班會	c=1 d=1 t=10609
ban ju 	半句	c=0 d=0.1 t=9897
ban le 	辦了	c=1 d=1 t=3031
ban quan 	版權	c=4 d=3.85428 t=3308
ban shang 	班上	c=1 d=1 t=24827
ban tian 	半天	c=3 d=1.00016 t=23873
ban xiao shi 	半小時	c=2 d=1 t=22279
ban xue 	半血	c=1 d=1 t=522
ban ye 	半夜	c=0 d=0.1 t=16227
ban yun 	搬運	c=2 d=1.92774 t=3383
ban zheng 	辦證	c=1 d=1 t=21942
ban zhi min di 	半殖民地	c=1 d=1 t=20360
ban zhuan 	搬磚	c=3 d=2.64182 t=9413
ban zhuang 	半莊	c=2 d=1.98511 t=25844
bang 	榜	c=1 d=1 t=22174
bang bang 	棒棒	c=1 d=0.337902 t=26693
bang du 	棒讀	c=2 d=1.99005 t=1445
bang ni 	幫你	c=3 d=1 t=12436
bang qiu 	棒球	c=1 d=1 t=12473
bang wo 	幫我	c=1 d=1 t=24423
bao 	保	c=0 d=0.1 t=4183
bao 	包	c=22 d=1.08156 t=24295
bao 	堡	c=1 d=1 t=25374
bao 	報	c=2 d=1.96561 t=18118
bao 	寶	c=2 d=1 t=24661
bao an 	保安	c=3 d=1 t=25316
bao bi 	暴斃	c=1 d=1 t=1705
bao chi 	保持	c=3 d=1.94649 t=14462
bao chu 	爆出	c=0 d=0.1 t=22450
bao chu lai 	爆出來	c=1 d=1 t=22451
bao chui 	爆鎚	c=1 d=1 t=9382
bao cun 	保存	c=1 d=1 t=7625
bao da 	暴打	c=1 d=1 t=18592
bao di 	爆地	c=1 d=1 t=5551
bao gao 	報告	c=6 d=1 t=22079
bao gao zhong 	報告中	c=1 d=1 t=16132
bao hu 	保護	c=2 d=1 t=14624
bao ji 	暴擊	c=2 d=1.97045 t=25599
bao jin qu 	包進去	c=1 d=1 t=24296
bao ku 	寶庫	c=1 d=1 t=20603
bao kuo 	包括	c=4 d=1 t=20213
bao le 	保了	c=1 d=1 t=16750
bao le 	包了	c=0 d=0.1 t=1271
bao lei 	堡壘	c=1 d=1 t=9110
bao li 	包裏	c=1 d=1 t=26042
bao li 	暴力	c=3 d=1 t=21496
bao liu 	保留	c=0 d=0.1 t=12430
bao mi 	保密	c=1 d=1 t=23771
bao ming 	報名	c=1 d=1 t=18138
bao shou 	保守	c=0 d=0.1 t=14631
bao ta 	寶塔	c=2 d=1.98511 t=13409
bao wei 	包圍	c=1 d=1 t=14392
bao xiao 	報銷	c=1 d=1 t=12604
bao xiu 	保修	c=1 d=1 t=26685
bao yan 	保研	c=1 d=1 t=16746
bao ying 	報應	c=1 d=1 t=17725
bao yuan 	抱怨	c=1 d=1 t=5782
bao zhang 	保障	c=5 d=1.0476 t=22003
bao zhen 	抱枕	c=1 d=0.349938 t=26693
bao zheng 	保證	c=10 d=2.27994 t=21407
bei 	北	c=1 d=1 t=3569
bei 	唄	c=20 d=1 t=26377
bei 	悲	c=2 d=1 t=25221
bei 	背	c=5 d=1.96848 t=25725
bei 	被	c=41 d=1.13509 t=25367
bei bao 	背包	c=1 d=1 t=26041
bei bao 	貝寶	c=3 d=2.91693 t=684
bei bu wan 	背不完	c=1 d=0.180058 t=25707
bei bu wan le 	背不完了	c=2 d=1.17377 t=26058
bei dao 	背到	c=1 d=1 t=25177
bei de 	背的	c=1 d=1 t=25722
bei dong 	被動	c=1 d=1 t=1692
bei fen 	備份	c=2 d=1.91393 t=23488
bei hou 	背後	c=1 d=1 t=13643
bei hui 	被毀	c=1 d=1 t=5859
bei jing 	北京	c=3 d=1 t=17902
bei jing 	背景	c=7 d=1 t=23094
bei jing yin 	背景音	c=2 d=1 t=25121
bei le 	背了	c=1 d=1 t=25709
bei mian 	背面	c=1 d=1 t=18837
bei pai 	備牌	c=1 d=1 t=11595
bei qiang le 	被牆了	c=1 d=1 t=12755
bei ren cheng 	被認成	c=1 d=1 t=6030
bei shang 	悲傷	c=1 d=1 t=24166
bei shou 	備受	c=0 d=0.1 t=5746
bei shou zun jing 	備受尊敬	c=1 d=1 t=5747
bei shu 	倍數	c=1 d=1 t=2111
bei ta 	被他	c=1 d=1 t=12875
bei wan 	背完	c=1 d=0.1185 t=25973
bei wan le 	背完了	c=1 d=1.09005 t=25976
bei wan le ma 	背完了嗎	c=1 d=1 t=25977
bei wang lu 	備忘錄	c=1 d=1 t=4805
bei wo 	被我	c=2 d=1 t=9537
bei zi 	杯子	c=4 d=1.72253 t=25579
bei zi 	被子	c=1 d=1 t=22127
ben 	本	c=7 d=1.03936 t=22326
ben ben 	本本	c=1 d=1 t=11293
ben di 	本地	c=2 d=0.1 t=17859
ben di de 	本地的	c=1 d=1 t=17370
ben di ei 	本地誒	c=1 d=1 t=17860
ben di hua 	本地化	c=0 d=0.0412714 t=26693
ben dui 	本隊	c=1 d=1 t=6145
ben gui ze 	本規則	c=1 d=1 t=19153
ben guo 	本國	c=2 d=1.94649 t=24403
ben ke 	本科	c=0 d=0.1 t=11202
ben ke jie duan 	本科階段	c=1 d=1 t=11203
ben ke sheng 	本科生	c=1 d=1 t=11199
ben lai 	本來	c=9 d=1 t=22688
ben lai jiu 	本來就	c=1 d=1 t=22343
ben lai jiu shi 	本來就是	c=0 d=0.1 t=1356
ben lai jiu shi mao 	本來就是貓	c=1 d=1 t=1357
ben qun 	本羣	c=4 d=3.41572 t=19447
ben ren 	本人	c=1 d=1 t=11639
ben shen 	本身	c=3 d=1.00001 t=20376
ben shou ze 	本守則	c=1 d=1 t=19441
ben ti 	本體	c=3 d=1 t=19009
ben xiao 	本校	c=4 d=1.93087 t=25999
ben yuan 	本源	c=1 d=1 t=7341
ben zhi 	本質	c=5 d=1.96584 t=22105
ben zhi yao qiu 	本質要求	c=2 d=1 t=22000
ben zi 	本子	c=10 d=1.00006 t=24384
ben zun 	本尊	c=1 d=1 t=4090
beng bu 	蚌埠	c=2 d=1 t=17288
beng kui 	崩潰	c=1 d=1 t=22482
beng le 	崩了	c=1 d=1 t=25860
bi 	幣	c=1 d=1 t=20788
bi 	斃	c=1 d=1 t=10054
bi 	比	c=19 d=1.83925 t=25735
bi 	筆	c=3 d=1.81873 t=17653
bi an 	彼岸	c=0 d=0.1 t=13193
bi bei 	必備	c=1 d=1 t=19797
bi bu shang 	比不上	c=2 d=1 t=16661
bi chong 	避銃	c=1 d=1 t=22197
bi chu 	筆觸	c=1 d=1 t=22513
bi ding 	必定	c=3 d=0.1 t=19826
bi he 	閉合	c=2 d=1.97531 t=17517
bi ji 	筆記	c=4 d=0.1 t=20827
bi ji ben 	筆記本	c=7 d=3.77142 t=26442
bi jiao 	比較	c=8 d=0.100178 t=18439
bi jiao duo 	比較多	c=1 d=1 t=6884
bi jiao quan 	比較全	c=1 d=1 t=3825
bi jiao san 	比較散	c=1 d=1 t=18440
bi jiao shao 	比較少	c=1 d=1 t=12192
bi jiao xia 	比較下	c=1 d=1 t=16362
bi jing 	畢竟	c=2 d=1.00001 t=3487
bi li 	比例	c=2 d=1 t=21265
bi qi 	比起	c=1 d=1 t=9000
bi qi lai 	比起來	c=1 d=1 t=24123
bi ran 	必然	c=5 d=1.00006 t=24451
bi ru 	比如	c=20 d=1.75595 t=22740
bi sai 	比賽	c=2 d=0.1 t=22707
bi sai xiao xi 	比賽消息	c=1 d=1 t=22708
bi she 	比舍	c=1 d=1 t=3015
bi she 	畢設	c=9 d=1.99005 t=25360
bi shua 	筆刷	c=1 d=1 t=22515
bi tou 	筆頭	c=0 d=0.1 t=1457
bi wo 	比我	c=1 d=1 t=9273
bi wo men 	比我們	c=1 d=1 t=5864
bi xia 	陛下	c=2 d=1.98511 t=22995
bi xie 	辟邪	c=1 d=1 t=7494
bi xu 	必須	c=19 d=1 t=24153
bi xu si 	必須私	c=1 d=1 t=3389
bi xu yao 	必須要	c=2 d=1 t=22614
bi xu yao you 	必須要有	c=1 d=1 t=19665
bi yao 	必要	c=1 d=1 t=3803
bi yao xing 	必要性	c=1 d=1 t=2436
bi ye 	畢業	c=1 d=1 t=26421
bi ye le 	畢業了	c=3 d=2.80977 t=2408
bi ye she ji 	畢業設計	c=2 d=1.67368 t=6021
bi you 	必有	c=1 d=1 t=25498
bi zhi 	壁紙	c=2 d=1.54064 t=24299
bi zi ji 	比自己	c=1 d=1 t=9632
bian 	編	c=1 d=1 t=19346
bian 	變	c=5 d=1 t=23061
bian 	邊	c=9 d=1.21546 t=22931
bian chang 	變長	c=0 d=0.1 t=22567
bian chang le 	變長了	c=1 d=1 t=22568
bian cheng 	變成	c=17 d=1.11749 t=17534
bian cheng le 	變成了	c=1 d=1 t=24798
bian de 	變得	c=2 d=1 t=25871
bian hua 	變化	c=3 d=1 t=21507
bian ji 	編輯	c=1 d=1 t=6095
bian ji bu 	編輯部	c=1 d=1 t=6003
bian ji qi 	編輯器	c=1 d=1 t=11162
bian kuang 	邊框	c=2 d=1.90937 t=12071
bian le 	變了	c=1 d=1 t=17041
bian li 	遍歷	c=0 d=0.397017 t=4730
bian quan 	邊權	c=1 d=0.172907 t=26693
bian ren di 	變人地	c=1 d=1 t=10681
bian se 	變色	c=1 d=1 t=16599
bian shang xian 	變上限	c=1 d=1 t=7906
bian shu 	邊數	c=1 d=1 t=4832
bian xian 	變現	c=0 d=0.1 t=7896
bian xian han shu 	變現函數	c=1 d=1 t=7897
bian xian ji fen 	變限積分	c=1 d=1 t=7893
bian xiao 	變小	c=1 d=1 t=24987
bian yi 	編譯	c=7 d=1 t=17585
bian zheng 	辯證	c=2 d=1.956 t=9901
bian zhong 	變種	c=0 d=0.1 t=23916
biao 	標	c=0 d=0.1 t=8465
biao 	表	c=4 d=1 t=25507
biao da 	表達	c=1 d=1 t=10042
biao da de 	表達的	c=0 d=0.1 t=5788
biao da shi 	表達式	c=4 d=3.83578 t=17977
biao ji 	標記	c=0 d=0.1 t=26553
biao ji wei 	標記爲	c=1 d=1 t=26554
biao li 	表裏	c=1 d=1 t=10430
biao qing 	表情	c=1 d=1 t=7667
biao qing bao 	表情包	c=2 d=1 t=7618
biao qing bao le 	表情包了	c=1 d=1 t=1272
biao shi 	表示	c=4 d=2.48954 t=5229
biao ti 	標題	c=1 d=1 t=18762
biao ti lan 	標題欄	c=1 d=1 t=11884
biao xian 	表現	c=0 d=0.1 t=5650
biao xian de 	表現得	c=1 d=1 t=5651
biao yang 	表揚	c=4 d=1 t=17394
biao zai shang mian 	標在上面	c=1 d=1 t=8466
biao zhi 	標誌	c=1 d=1 t=15022
biao zhi zhe 	標誌着	c=2 d=1 t=21098
biao zhun 	標準	c=5 d=1 t=20434
bie 	別	c=4 d=2.36257 t=26693
bie chu 	別處	c=1 d=1 t=19351
bie da 	別打	c=1 d=1 t=25842
bie de 	別的	c=10 d=0.100018 t=25609
bie de dui 	別的隊	c=1 d=1 t=25610
bie de ma 	別的嗎	c=2 d=1 t=7848
bie gai 	別改	c=1 d=1 t=12320
bie jia 	別家	c=1 d=1 t=25823
bie le 	別了	c=0 d=0.1 t=25024
bie rang 	別讓	c=0 d=0.1 t=6977
bie rang deng dai 	別讓等待	c=1 d=1 t=6978
bie rang wo 	別讓我	c=1 d=1 t=13664
bie ren 	別人	c=3 d=1 t=24780
bie shuo le 	別說了	c=1 d=1 t=13181
bie tai 	別太	c=1 d=1 t=9701
bie tou 	別投	c=1 d=1 t=24708
bie wan 	別玩	c=1 d=1 t=3131
bie xu 	別緒	c=1 d=1 t=10457
bie yong 	別用	c=1 d=1 t=12293
bie you 	別有	c=1 d=1 t=4161
bing 	並	c=20 d=1.00122 t=22861
bing 	兵	c=1 d=1 t=18408
bing 	冰	c=3 d=1 t=13481
bing 	餅	c=1 d=1 t=16757
bing bu hui 	並不會	c=1 d=1 t=12031
bing bu shi 	並不是	c=2 d=1 t=23134
bing cha ji 	並查集	c=1 d=1 t=1884
bing du 	病毒	c=2 d=2.0067 t=23862
bing qie 	並且	c=5 d=1 t=24832
bing shan 	冰山	c=1 d=1 t=10251
bing tang 	冰糖	c=3 d=2.94111 t=10639
bing xue 	冰雪	c=2 d=1.10007 t=2327
bo 	博	c=1 d=1 t=17559
bo 	波	c=0 d=0.1 t=18489
bo bo 	啵啵	c=0 d=0.1 t=18798
bo bo te 	啵啵特	c=1 d=1 t=18799
bo fang 	播放	c=1 d=1 t=601
bo gu 	博古	c=2 d=1.89137 t=14067
bo ke 	博客	c=1 d=1 t=4130
bo le 	播了	c=1 d=1 t=25118
bu 	不	c=24 d=0.116705 t=26130
bu 	步	c=1 d=1 t=21105
bu 	部	c=1 d=1 t=21295
bu ai 	不愛	c=0 d=0.1 t=11162
bu an quan 	不安全	c=1 d=1 t=13400
bu bao liu 	不保留	c=1 d=1 t=12431
bu bao zheng 	不保證	c=1 d=1 t=12438
bu cha 	不查	c=1 d=1 t=8087
bu chang 	補償	c=1 d=1 t=11525
bu chang yong 	不常用	c=1 d=0.744532 t=26693
bu chao guo 	不超過	c=1 d=1 t=9033
bu cheng 	不成	c=0 d=0.1 t=5462
bu cheng ge 	不成各	c=1 d=1 t=5463
bu cheng gong 	不成功	c=2 d=1.97531 t=5477
bu chi 	不喫	c=1 d=1 t=13455
bu chong 	補充	c=4 d=3.73522 t=14725
bu chong fen 	不充分	c=1 d=1 t=16005
bu chong zhi de 	不重置的	c=1 d=1 t=13183
bu chu 	不出	c=0 d=0.1 t=4422
bu chu lai 	不出來	c=0 d=0.1 t=10661
bu chu xian 	不出現	c=2 d=1.90032 t=7385
bu chuan 	不傳	c=0 d=0.1 t=24276
bu chuan yao 	不傳謠	c=1 d=1 t=24277
bu chun zhen 	不純真	c=1 d=1 t=22471
bu cun zai 	不存在	c=3 d=1 t=25636
bu da 	不打	c=7 d=0.1 t=25867
bu da bian 	不答辯	c=1 d=1 t=18205
bu da le 	不打了	c=1 d=1 t=25868
bu da suan 	不打算	c=3 d=1.98511 t=10066
bu dai 	不帶	c=1 d=0.100002 t=16320
bu dai biao 	不代表	c=1 d=1 t=7213
bu dai ke 	不代課	c=1 d=1 t=2635
bu dai wo 	不帶我	c=1 d=1 t=16321
bu dao 	不到	c=2 d=0.1 t=26657
bu dao 	補到	c=1 d=1 t=19398
bu de 	不得	c=0 d=0.1 t=16316
bu dian 	不點	c=0 d=0.1 t=25915
bu dian pao 	不點炮	c=1 d=1 t=25916
bu ding 	布丁	c=5 d=0.1 t=19076
bu ding nv shen 	布丁女神	c=1 d=1 t=754
bu dong 	不動	c=0 d=0.1 t=13740
bu dong 	不懂	c=3 d=1 t=12646
bu dong jiu wen 	不懂就問	c=2 d=1 t=25073
bu dong shi 	不懂事	c=1 d=1 t=9409
bu dou shi 	不都是	c=3 d=1 t=23215
bu duan kuo da 	不斷擴大	c=1 d=1 t=15715
bu dui 	不對	c=5 d=1 t=25068
bu dui cheng 	不對稱	c=1 d=1 t=12871
bu dui jin 	不對勁	c=1 d=1 t=25534
bu duo 	不多	c=1 d=1 t=19053
bu fa 	步伐	c=1 d=1 t=14997
bu fang 	不放	c=1 d=1 t=6576
bu fen 	部分	c=2 d=1 t=24059
bu feng le 	不封了	c=1 d=1 t=5306
bu fu 	不服	c=1 d=1 t=21901
bu fu he 	不符合	c=1 d=1 t=10043
bu gai 	不該	c=0 d=0.1 t=6339
bu gai chi 	不該喫	c=1 d=1 t=6340
bu gan 	不敢	c=2 d=1.93707 t=22990
bu gao 	不高	c=2 d=1 t=24823
bu gei 	不給	c=2 d=1 t=25159
bu gei song 	不給送	c=1 d=1 t=11463
bu geng xin 	不更新	c=1 d=1 t=23347
bu gou 	不夠	c=3 d=1.25795 t=23435
bu gou yong 	不夠用	c=3 d=1 t=18654
bu gua 	不掛	c=0 d=0.1 t=3963
bu guan 	不管	c=4 d=1.97535 t=9550
bu guan le 	不管了	c=1 d=1 t=3221
bu guang 	不逛	c=1 d=1 t=20750
bu gui 	不貴	c=0 d=0.1 t=13602
bu gui le 	不貴了	c=1 d=1 t=13603
bu gui ze 	不規則	c=1 d=1 t=1462
bu guo 	不過	c=19 d=1.00026 t=26274
bu guo lai 	不過來	c=0 d=0.1 t=7278
bu han 	不喊	c=1 d=1 t=17781
bu hao 	不好	c=2 d=0.1 t=25911
bu hao yi si 	不好意思	c=1 d=1 t=11626
bu he 	不喝	c=1 d=1 t=5119
bu hui 	不回	c=2 d=1 t=22932
bu hui 	不會	c=11 d=0.100781 t=26680
bu hui ba 	不會吧	c=2 d=1.99501 t=1508
bu hui da 	不會打	c=1 d=1 t=16912
bu hui hua hua 	不會畫畫	c=1 d=1 t=11907
bu hui shi 	不會是	c=1 d=1 t=23442
bu hui shi yi ge 	不會是一個	c=1 d=1 t=6995
bu hui shou qian 	不會收錢	c=1 d=1 t=26681
bu hui xian 	不回顯	c=1 d=1 t=10818
bu hui you ren 	不會有人	c=4 d=2.94092 t=25966
bu ji 	卜吉	c=1 d=1 t=1232
bu ji de 	不記得	c=4 d=1 t=17097
bu ji ji 	不積極	c=1 d=0.540641 t=26693
bu jia 	不加	c=1 d=1 t=22720
bu jian 	不見	c=0 d=0.1 t=2919
bu jian rong 	不兼容	c=0 d=0.1 t=1778
bu jian rong de 	不兼容的	c=1 d=1 t=1779
bu jiao 	不驕	c=1 d=1 t=14454
bu jiao shi de 	不矯飾的	c=1 d=1 t=5671
bu jie zhu 	不藉助	c=1 d=1 t=3699
bu jin 	不僅	c=2 d=1.00019 t=21847
bu jin qu 	不進去	c=0 d=0.1 t=26119
bu jing 	不敬	c=1 d=1 t=22985
bu jiu 	不久	c=1 d=0.1 t=25950
bu jiu shi 	不就是	c=4 d=1 t=23567
bu jiu xing le 	不就行了	c=2 d=1 t=24038
bu jiu you 	不久有	c=1 d=1 t=25951
bu ju 	佈局	c=0 d=0.170822 t=15643
bu ju shi 	佈局是	c=1 d=1 t=15575
bu ju you 	不具有	c=1 d=1 t=13519
bu ka 	不卡	c=1 d=1 t=23362
bu kan 	不看	c=0 d=0.1 t=2809
bu kan le 	不看了	c=1 d=1 t=26131
bu kao 	不考	c=1 d=1 t=6378
bu kao 	補考	c=1 d=1 t=12139
bu kao lv 	不考慮	c=1 d=1 t=17261
bu kao pu 	不靠譜	c=1 d=1 t=10453
bu kao yan 	不考研	c=1 d=1 t=25667
bu ke 	不可	c=2 d=1 t=22877
bu ke 	不氪	c=1 d=1 t=7278
bu ke ming zhuang 	不可名狀	c=1 d=1 t=17847
bu ke neng 	不可能	c=2 d=0.674072 t=25936
bu ke yi 	不可以	c=1 d=1 t=24927
bu ke zhi lun 	不可知論	c=2 d=1 t=9984
bu kui 	不虧	c=1 d=1 t=485
bu lai 	不來	c=1 d=1 t=8558
bu li 	不理	c=1 d=1 t=3496
bu lian wang 	不聯網	c=1 d=1 t=23858
bu liao 	不了	c=1 d=0.1 t=26549
bu liao liao zhi 	不了了之	c=1 d=1 t=22247
bu man 	不滿	c=1 d=1 t=23475
bu mei miao de 	不美妙的	c=1 d=1 t=17815
bu men 	部門	c=1 d=1 t=10399
bu ming bai 	不明白	c=0 d=0.1 t=17279
bu nan 	不難	c=2 d=1 t=26142
bu neng 	不能	c=12 d=0.100889 t=26573
bu neng man zu 	不能滿足	c=1 d=1 t=14584
bu neng shi bie 	不能識別	c=1 d=1 t=26574
bu neng shi yong 	不能使用	c=3 d=1 t=26215
bu neng shuo 	不能說	c=1 d=1 t=6447
bu neng yong 	不能用	c=1 d=1 t=12833
bu pa 	不怕	c=2 d=0.1 t=21894
bu pa si 	不怕死	c=1 d=1 t=4336
bu pa xi sheng 	不怕犧牲	c=1 d=1 t=21895
bu pai chu 	不排除	c=1 d=1 t=11373
bu pan duan 	不判斷	c=1 d=1 t=16436
bu pei 	不配	c=1 d=1 t=24800
bu peng 	不碰	c=1 d=1 t=9412
bu ping heng 	不平衡	c=2 d=1 t=16004
bu qing chu 	不清楚	c=2 d=1 t=24629
bu qing chu le 	不清楚了	c=1 d=1 t=6453
bu qing xi 	不清晰	c=0 d=0.1 t=5722
bu qing xi de 	不清晰的	c=1 d=1 t=5723
bu qu 	不去	c=1 d=1 t=12807
bu qu bu nao 	不屈不撓	c=1 d=1 t=21472
bu quan 	不全	c=1 d=1 t=6755
bu quan 	補全	c=5 d=3.66405 t=12374
bu que 	不缺	c=1 d=1 t=3317
bu ran 	不然	c=3 d=1.93707 t=24155
bu ran de hua 	不然的話	c=1 d=1 t=12428
bu rang 	不讓	c=2 d=1.98839 t=3093
bu rang zou ma 	不讓走嗎	c=1 d=1 t=3094
bu ren 	不忍	c=0 d=0.1 t=803
bu ren le 	不忍了	c=1 d=1 t=804
bu ren shi 	不認識	c=1 d=1 t=24179
bu reng 	不扔	c=1 d=1 t=6766
bu rong yi 	不容易	c=0 d=0.1 t=13461
bu rong yi si 	不容易死	c=1 d=1 t=13462
bu ru 	不如	c=6 d=1.05448 t=25146
bu shang 	不上	c=1 d=0.1 t=24784
bu shang qu 	不上去	c=0 d=0.1 t=13295
bu she 	不設	c=0 d=0.1 t=23821
bu she ji 	不涉及	c=1 d=1 t=21642
